video_id,channel,publish_date,title,thumbnail_url,views,likes,comments,image_path
aw_k00T4UFk,WorldofAI,2026-02-28T04:49:42Z,Antigravity + Claude Code IS INCREDIBLE! NEW AI Coding Workflow Can Build and Automate EVERYTHING!,https://i.ytimg.com/vi/aw_k00T4UFk/hqdefault.jpg,53391,850.0,54.0,data/raw/images/aw_k00T4UFk.jpg
Z-BW5j6dY34,Learn_India,2026-04-01T13:32:40Z,Study with me until the ice melt🧊📚#study #icemelting #upsc #ssc #jee #neet #youtube #shorts #yt ￼,https://i.ytimg.com/vi/Z-BW5j6dY34/hqdefault.jpg,2144,,0.0,data/raw/images/Z-BW5j6dY34.jpg
lYCovaoFwk4,Golden Notes | Aesthetic Stationery & Gift Boxes,2026-03-31T23:29:12Z,Less than half left 👀 #goldennotesshop,https://i.ytimg.com/vi/lYCovaoFwk4/hqdefault.jpg,908,60.0,0.0,data/raw/images/lYCovaoFwk4.jpg
gO3ig-fjc6M,Ciara O Doherty,2025-12-25T17:01:08Z,THE TOP FASHION & STYLE TRENDS for 2026 - What to wear in 2026 / Easy wearable womens fashion trends,https://i.ytimg.com/vi/gO3ig-fjc6M/hqdefault.jpg,326805,8474.0,501.0,data/raw/images/gO3ig-fjc6M.jpg
yycMJpjwS3c,Song Yi,2025-04-16T13:41:02Z,‧₊˚✩彡 Muji haul with me 🎀 #stationery #study #studygram #haul #shorts #trending,https://i.ytimg.com/vi/yycMJpjwS3c/hqdefault.jpg,490049,,68.0,data/raw/images/yycMJpjwS3c.jpg
ac_ajdiE6pY,Aesthetic _Study,2025-04-16T05:58:09Z,'Hindi' front page 💚🌿 #shorts #youtubeshorts,https://i.ytimg.com/vi/ac_ajdiE6pY/hqdefault.jpg,662076,8692.0,49.0,data/raw/images/ac_ajdiE6pY.jpg
oXAkgYIDCXo,Iamastudent 🎓,2026-04-01T15:30:11Z,study with me 😁...#asmr #art #motivation #study #shorts#success,https://i.ytimg.com/vi/oXAkgYIDCXo/hqdefault.jpg,1196,15.0,1.0,data/raw/images/oXAkgYIDCXo.jpg
f6SUmqCgK8I,GrowingwithGrace,2026-04-01T15:01:02Z,Kept It Simple. That Was Enough. 📚 | Study With Me | Consistency#shorts#exampreparation#motivation,https://i.ytimg.com/vi/f6SUmqCgK8I/hqdefault.jpg,1296,,0.0,data/raw/images/f6SUmqCgK8I.jpg
OWNfVfxnwek,Prince of Craft,2025-07-26T08:00:32Z,My Sister Vs Me : Who will make the best Notebook Cover #shorts,https://i.ytimg.com/vi/OWNfVfxnwek/hqdefault.jpg,3642186,,393.0,data/raw/images/OWNfVfxnwek.jpg
qmFFeQR-oY4,CJ Trowbridge,2026-03-16T11:41:47Z,How can you set up locally hosted Vibe coding AI Hardware on the cheap?,https://i.ytimg.com/vi/qmFFeQR-oY4/hqdefault.jpg,687,36.0,4.0,data/raw/images/qmFFeQR-oY4.jpg
lctQZygAeE8,Moon Mom Palette,2026-04-01T11:30:39Z,Aesthetic Mini notebook😍✨ #diy #miniature #shortvideo,https://i.ytimg.com/vi/lctQZygAeE8/hqdefault.jpg,1179,15.0,0.0,data/raw/images/lctQZygAeE8.jpg
L8zXNxIC67I,aesthetic diaries ୨ৎ,2025-07-04T11:54:55Z,EMPTY NOTEBOOK IDEAS #2,https://i.ytimg.com/vi/L8zXNxIC67I/hqdefault.jpg,783604,,37.0,data/raw/images/L8zXNxIC67I.jpg
xIpj2mT1GpI,DEE_DEE🩷,2026-04-01T08:24:48Z,junk journal with me #sticker#kawii#aesthetic#shoujogirl 🌸🎀🩷,https://i.ytimg.com/vi/xIpj2mT1GpI/hqdefault.jpg,247,0.0,0.0,data/raw/images/xIpj2mT1GpI.jpg
