feature,transformation,difference
edge_density,resize_426x240,0.008936815336463233
blur,resize_426x240,190.89703240282347
corner_count,resize_426x240,87.0
contrast,resize_426x240,0.6116750984839427
keypoint_count,resize_426x240,1529.0
colorfulness,resize_426x240,0.25512839048658975
brightness,resize_426x240,0.07132726917058108
entropy,resize_426x240,0.00707244873046875
text_length,resize_426x240,0.0
text_count,resize_426x240,0.0
text_presence,resize_426x240,0.0
face_count,resize_426x240,0.0
symmetry,resize_426x240,0.0027384406292511043
edge_density,compress,0.012743055555555563
blur,compress,679.1248996265216
corner_count,compress,54.0
contrast,compress,0.1802386254736632
keypoint_count,compress,145.0
colorfulness,compress,0.998202092075914
brightness,compress,0.03868055555555827
entropy,compress,2.1457672119140625e-05
text_length,compress,0.0
text_count,compress,0.0
text_presence,compress,0.0
face_count,compress,0.0
symmetry,compress,0.002366466957153257
edge_density,blur,0.030353009259259253
blur,blur,904.0464157075188
corner_count,blur,28.0
contrast,blur,1.8466598123612101
keypoint_count,blur,1591.0
colorfulness,blur,0.9883492399577705
brightness,blur,0.004693287037028426
entropy,blur,0.020631790161132812
text_length,blur,0.0
text_count,blur,0.0
text_presence,blur,0.0
face_count,blur,0.0
symmetry,blur,0.009353894335511925
edge_density,noise,0.27001157407407406
blur,noise,70857.01862170357
corner_count,noise,470.0
contrast,noise,4.170362629068492
keypoint_count,noise,457.0
colorfulness,noise,21.598189990722545
brightness,noise,83.45956597222221
entropy,noise,0.12515687942504883
text_length,noise,0.0
text_count,noise,0.0
text_presence,noise,0.0
face_count,noise,1.0
symmetry,noise,0.127458832607117
edge_density,resize_640x360,0.013033854166666664
blur,resize_640x360,720.931501864578
corner_count,resize_640x360,98.0
contrast,resize_640x360,0.37602064693808757
keypoint_count,resize_640x360,319.0
colorfulness,resize_640x360,0.011184701486541826
brightness,resize_640x360,0.020250289351849915
entropy,resize_640x360,0.004317283630371094
text_length,resize_640x360,0.0
text_count,resize_640x360,0.0
text_presence,resize_640x360,0.0
face_count,resize_640x360,0.0
symmetry,resize_640x360,0.0017971700254175715
edge_density,resize_480x270,0.002411265432098769
blur,resize_480x270,122.44132700270461
corner_count,resize_480x270,42.0
contrast,resize_480x270,0.25954884848624715
keypoint_count,resize_480x270,715.0
colorfulness,resize_480x270,0.04778656244718604
brightness,resize_480x270,0.014083719135797423
entropy,resize_480x270,0.007163524627685547
text_length,resize_480x270,0.0
text_count,resize_480x270,0.0
text_presence,resize_480x270,0.0
face_count,resize_480x270,0.0
symmetry,resize_480x270,0.0012830579762769245
edge_density,resize_320x180,0.014444444444444454
blur,resize_320x180,15.433634863046791
corner_count,resize_320x180,193.0
contrast,resize_320x180,0.7851665225406492
keypoint_count,resize_320x180,2259.0
colorfulness,resize_320x180,0.044047863168316326
brightness,resize_320x180,0.022314814814819783
entropy,resize_320x180,0.006015777587890625
text_length,resize_320x180,0.0
text_count,resize_320x180,0.0
text_presence,resize_320x180,0.0
face_count,resize_320x180,0.0
symmetry,resize_320x180,0.0036629448075526927
edge_density,resize_240x135,0.03091435185185186
blur,resize_240x135,582.0475872557927
corner_count,resize_240x135,242.0
contrast,resize_240x135,0.8926492739449969
keypoint_count,resize_240x135,2799.0
colorfulness,resize_240x135,0.12272194298280681
brightness,resize_240x135,0.02775270061728463
entropy,resize_240x135,0.025879383087158203
text_length,resize_240x135,0.0
text_count,resize_240x135,0.0
text_presence,resize_240x135,0.0
face_count,resize_240x135,0.0
symmetry,resize_240x135,0.0036076767126603793
edge_density,resize_160x90,0.06197916666666668
blur,resize_160x90,2672.42457482813
corner_count,resize_160x90,279.0
contrast,resize_160x90,0.13429044927697475
keypoint_count,resize_160x90,3268.0
colorfulness,resize_160x90,0.1258312451455481
brightness,resize_160x90,0.6737442129629585
entropy,resize_160x90,0.008868217468261719
text_length,resize_160x90,0.0
text_count,resize_160x90,0.0
text_presence,resize_160x90,0.0
face_count,resize_160x90,0.0
symmetry,resize_160x90,0.0018583424110385494
edge_density,resize_426x240,0.000504205790297349
blur,resize_426x240,437.21610374499164
corner_count,resize_426x240,119.0
contrast,resize_426x240,0.6514656393430442
keypoint_count,resize_426x240,1414.0
colorfulness,resize_426x240,0.0046005846453880395
