video_id,edge_density,blur,corner_count,contrast,views,keypoint_count,colorfulness,brightness,entropy,text,text_length,text_count,text_presence,face_count,symmetry
U8yAU28SsIE,0.061550925925925926,2307.5328025125054,170,53.23813235860378,1736,2736,123.31622744965254,82.02659722222222,4.382444,"ie S
lets shady together,

",25,5,1,0,0.9286074800290487
3DAX5lZC9Os,0.09501736111111111,2739.465942630637,406,80.14197024140398,23521,4373,105.09031795569966,73.22109375,4.637046,,0,0,0,1,0.7653579793028322
ntl0Pnm92Ag,0.09006944444444444,1008.7609156102311,412,54.405629658266335,7645,3945,87.92476827048287,74.45529513888889,5.0128727,,0,0,0,1,0.8779747185911402
3HlC04xsEuw,0.04497685185185185,1738.5673268518517,160,78.21283874946988,9517,2561,79.62256970331298,108.80475115740741,4.5291862,"MUST TRY “>

",11,3,1,0,0.8235919117647059
Zzdl5SdrQOs,0.055914351851851854,625.7845497885788,228,52.91182309124782,19881,2897,126.78943658016884,80.35777777777778,4.6193647,,0,0,0,0,0.8928710965867829
371I_JXES1M,0.10818287037037037,2224.016430484691,411,90.24526958432722,37971,4532,116.22950259933364,127.69652199074073,4.553351,,0,0,0,3,0.79309563362382
tTw1z10yMCI,0.06736111111111111,1629.193644212427,210,89.15889265114092,127126,3346,77.92106505955411,91.36401041666667,4.417281,,0,0,0,1,0.7292253540305011
SCeWpD0i3IE,0.04675925925925926,1830.2990666890382,240,48.87830283008297,1359,2333,59.89500163657642,59.39384259259259,4.8420553,"* InshOt
",8,2,1,0,0.877369825708061
xLnoGpDRAFI,0.04748842592592593,746.3141932822144,201,56.77053393078276,38071,2252,116.79845816070745,58.08123263888889,4.7756324,,0,0,0,0,0.8130134803921569
1d3QEOj_zHE,0.05438078703703704,842.3332276041666,261,55.199009854546716,1001,2290,125.51706721726654,70.97848958333333,4.892291,"Yes or no?

",10,3,1,2,0.901582561728395
OitqD31SGto,0.05542824074074074,1549.0901620261864,189,75.76731626624147,6143,2646,103.99853895064315,111.65631365740741,4.469696,,0,0,0,0,0.8471192356572259
AK9Sz_KjsnI,0.05825231481481481,768.8387193994007,274,67.88141622641885,177,3175,121.42144192893332,83.16972222222222,4.7100897,,0,0,0,1,0.860329883805374
xIpj2mT1GpI,0.05796875,1307.0267173233012,261,62.52108646294608,247,2989,126.13851202263075,102.35789351851852,4.6102557,,0,0,0,1,0.9335779774872912
7SCEgG35rj0,0.04268518518518519,698.9953182588721,213,68.99298332176198,30061,2401,134.74515956169844,108.0432349537037,4.5759616,,0,0,0,0,0.8925992647058824
5OIOL3B7aZE,0.1091550925925926,3303.7316843385297,397,98.14168325450738,8628,4445,84.57503720936079,133.36904513888888,4.246467,"n026 FASHION TREND PREDICTIONS
w
b E

",36,7,1,4,0.8534325072621641
sHKZCoMwks8,0.015399305555555555,453.9238422163012,75,72.53249871212432,2496286,896,131.07995729128632,104.05163773148148,4.4068456,,0,0,0,0,0.8948023329702252
vjJwgXsMfjM,0.043055555555555555,2539.0083100564502,195,78.24031755431157,53060,2927,124.95007998226686,57.72402199074074,3.2980175,"SELF-IMPROVING
ct BOO
A ¢@®

CONTENT
",36,6,1,0,0.8455938180827887
NQooQHjHnzo,0.11459490740740741,3401.7384020040295,303,96.81850084782815,675649,3776,104.7823737072043,105.89494791666667,4.489097,": Easy Tutorial ww

",18,4,1,3,0.7480620461147423
kbZC-aemB68,0.04396412037037037,925.3386447818875,184,60.06922203194185,18052,2126,70.25259304693012,87.97083912037037,4.446921,,0,0,0,5,0.8873387345679012
a3souYjaGOA,0.0705613425925926,1827.1942115964455,234,68.282835596749,571,3742,118.58891883450792,85.26163773148149,5.0114594,"CQOL BLUE
208

",13,3,1,3,0.8419655501089325
wnzQeHFYGRI,0.04416666666666667,562.1390175780916,203,60.024127635949505,2546,1599,70.42960863676923,81.17259837962963,4.6345625,,0,0,0,0,0.8834089960058097
1mmaXAlph6s,0.042390046296296294,683.6836746672119,154,54.28760304006431,4612248,2442,67.99530494172973,75.52038194444444,4.7736664,,0,0,0,1,0.9286115649963689
FO9Tn0d3gUQ,0.07228587962962962,1655.4679434919613,234,76.25300503393929,352,3691,77.43874744339898,90.14628472222222,4.674472,,0,0,0,1,0.8095561909949165
_g4dyKKO3zM,0.05651041666666667,1026.013748103004,259,59.480265355756565,1775,3166,123.79059948576419,73.83117476851852,4.891568,,0,0,0,0,0.8627285312273058
FixHSxoDXU0,0.10016203703703704,994.4071498882446,532,55.19664655122344,4,3653,47.725202529529014,64.60240740740741,4.525239,,0,0,0,1,0.8157200435729848
